Date,3M Bill Rates,SGDAUD,S&PAUX200
27/09/2013,0.00291,1.169561,5307.06
4/10/2013,0.00291,1.177141,5208.02
11/10/2013,0.00291,1.180084,5230.87
18/10/2013,0.00291,1.195678,5321.47
25/10/2013,0.003,1.185419,5386.35
1/11/2013,0.00291,1.173382,5411.12
8/11/2013,0.0029,1.169110,5400.66
15/11/2013,0.003,1.166989,5401.67
22/11/2013,0.003,1.145908,5335.91
29/11/2013,0.00309,1.145602,5320.05
6/12/2013,0.003,1.137267,5186.02
13/12/2013,0.003,1.124677,5098.43
20/12/2013,0.003,1.129181,5265.22
27/12/2013,0.00308,1.125975,5324.06
3/01/2014,0.00339,1.137166,5350.1
10/01/2014,0.0033,1.135995,5312.38
17/01/2014,0.00322,1.119839,5305.87
24/01/2014,0.00311,1.116093,5240.93
31/01/2014,0.00302,1.115230,5190
7/02/2014,0.003,1.134864,5166.53
14/02/2014,0.00311,1.136782,5356.26
21/02/2014,0.00278,1.135960,5438.7
28/02/2014,0.00278,1.133507,5404.82
7/03/2014,0.00278,1.150846,5462.31
14/03/2014,0.00291,1.143461,5329.4
21/03/2014,0.00299,1.158366,5338.08
28/03/2014,0.0033,1.163589,5366.94
4/04/2014,0.00339,1.171014,5422.83
11/04/2014,0.00322,1.173479,5428.65
18/04/2014,0.0032,1.168306,5454.23
25/04/2014,0.00322,1.165478,5531
2/05/2014,0.0033,1.161087,5458.06
9/05/2014,0.00309,1.167581,5460.84
16/05/2014,0.0033,1.171030,5479.04
23/05/2014,0.00322,1.156943,5492.79
30/05/2014,0.00322,1.166772,5492.55
6/06/2014,0.00309,1.167884,5464.03
13/06/2014,0.00309,1.174110,5405.05
20/06/2014,0.00322,1.173391,5419.47
27/06/2014,0.00322,1.176575,5445.06
4/07/2014,0.00322,1.165445,5524.98
11/07/2014,0.003,1.164026,5486.79
18/07/2014,0.003,1.164479,5531.66
25/07/2014,0.003,1.168074,5583.5
1/08/2014,0.003,1.161427,5556.37
8/08/2014,0.003,1.159976,5435.31
15/08/2014,0.003,1.159028,5566.52
22/08/2014,0.003,1.161834,5645.61
29/08/2014,0.003,1.167208,5625.89
5/09/2014,0.00309,1.175219,5598.69
12/09/2014,0.00322,1.142511,5531.14
19/09/2014,0.0033,1.132218,5433.06
26/09/2014,0.00339,1.117121,5313.41
3/10/2014,0.0033,1.110319,5318.21
10/10/2014,0.0033,1.110995,5188.25
17/10/2014,0.0033,1.116286,5271.72
24/10/2014,0.00332,1.122649,5412.25
31/10/2014,0.00339,1.129955,5526.6
7/11/2014,0.00332,1.113015,5549.13
14/11/2014,0.00361,1.134048,5454.34
21/11/2014,0.00361,1.126814,5304.31
28/11/2014,0.0042,1.112537,5313
5/12/2014,0.00531,1.101699,5335.33
12/12/2014,0.00592,1.082723,5219.57
19/12/2014,0.00622,1.072719,5338.65
26/12/2014,0.00679,1.074379,5394.53
2/01/2015,0.00679,1.080330,5435.93
9/01/2015,0.00689,1.092090,5465.57
16/01/2015,0.00609,1.088468,5299.24
23/01/2015,0.00622,1.068248,5501.82
